"Marca temporal","CONSENTIMIENTO INFORMADO: Otorgo mi consentimiento para que mis respuestas y la información vertida aquí pueda ser utilizada con fines científicos, académicos y de investigación, en pro de mejorar el proceso de enseñanza aprendizaje de los estudiantes, así mismo, expreso que acepto participar de manera libre y voluntaria en éste trabajo.","Grupo y Subgrupo","Sexo:","Edad (agregar solo el número, sin la palabra ""años""):","¿Participas en las sesiones de simulación del laboratorio o taller de fisiopatología?","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Experiencia en general]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de mi confianza]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación entre compañeros]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación con el docente]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades técnicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades clínicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi toma de decisiones]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi razonamiento]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi seguridad]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi pensamiento crítico]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi atención en clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi motivación para la clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi participación]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Trabajo en equipo]","¿Considera que la implementación de estrategias innovadoras, como la simulación, en el proceso de enseñanza-aprendizaje en medicina resulta positiva?","¿Porqué?","De manera breve indique ¿Cuál considera que sea el inconveniente más importante al tratar de implementar el aprendizaje basado en simulación?","¿Consideras que existe una diferencia positiva en la adquisición de conocimientos al implementar la simulación?","¿Consideras que tu promedio del curso podría mejorar al implementar la simulación?","¿Consideras apropiados, positivo y pertinente seguir empleado la simulación en los cursos?","¿Consideras que la retroalimentación posterior a la simulación es indispensable (debriefing) para el logro de los objetivos?","¿Los casos simulados son coherentes con las clases de teoría?","¿Que tan importante consideras que es la capacitación docente para el logro de los objetivos en la simulación?","Algún comentario que quiera agregar para la mejora de estas clases ","De manera general, ¿En base a qué seleccionas el lugar donde te sientas en el espacio de enseñanza (aula, salón, taller, laboratorio)?","En el espacio de enseñanza del curso de Fisiopatología, las sillas permiten estar de manera cercana a tus compañeros, ¿que te parece ésta situación?","Indica cuales son los aspectos que consideras que mejoran cuando te encuentras cerca de tus compañeros, en un espacio cercano, frente a frente o a lado tuyo, como en el caso del acomodo de las sillas en el curso de Fisiopatología (puedes seleccionar más de una y/o agregar las que desees)","Indica cuales son los aspectos negativos que consideras que se presentan cuando te encuentras cerca de tus compañeros en un espacio cercano en el aula, como en el caso acomodo de las sillas en el curso de Fisiopatología"
"2025/05/21 5:20:23 p. m. GMT-6","Acepto","441-2","Femenino","25","Si","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Porque es algo nuevo que nos ayuda a aprender mejor, nos hace sentir como doctores y nos enseña cómo tratar y comportarnos con un paciente.","Se necesita equipo y sobre todo que los docentes estén capacitados para poder guíanos como estudiantes.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Tenemos más casos de urgencias, porque nos preparan mejor para situaciones reales y nos ayudan a pensar y actuar rápido","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal;Participación;ayudan a complementar apuntes o comentarios que dijo el doctor ","Algunas veces puede ser distracción"
"2025/05/21 5:20:46 p. m. GMT-6","Acepto","441-1","Femenino","20","Si","4 Buena","4 Buena","5 Excelente","5 Excelente","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","Completamente de acuerdo","es una manera didáctica de aprender, es muy ameno y divertido ","equipo, sé que a nosotros nos ha tocado muy buen equipo pero sé que es algo que con el tiempo mejorará ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","lo quiero mucho doc","Donde están mis amigos","Excelente idea, me encanta","Confianza;Comunicación;Aprendizaje significativo;Compañerismo;Discusión grupal;Trabajo en equipo","solo le veo de mal que no hay un lugar para apoyarse para hacer notas"
"2025/05/21 5:21:01 p. m. GMT-6","Acepto","441-1","Femenino","21","Si","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Considero que es como un reforzamiento, ya que aparte de lo teórico lo implementamos de manera práctica.","el no tener una idea de cómo se realizan las simulaciones, ya sea los puntos que debe de tratar, sin antes proporcionarnos una explicación. ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Ninguna, muy buena clase.","Donde me sienta cómoda ","Buena estrategia","Estado de ánimo;Empatía;Compañerismo;Discusión grupal","Me desconcentro un poco."
"2025/05/21 5:21:20 p. m. GMT-6","Acepto","442-1","Masculino","19","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","La simulaciones ayudan demasiado al alumno para relacionar lo estudiado con la practica centrándose en como entender un paciente que tiene una enfermedad esta comprobado que es uno de los mejores métodos de estudio es una retroalimentación positiva a nuestro aprendizaje ","posiblemente profesores que tengan la disposición de aprender como aplicarlo porque no es solamente dejar que hagan una simulación conlleva la preparación y la retroalimentación adecuada post-simulación.","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde están mis amigos","te adaptas pero si los grupos son de muchas personas veo necesario un aula mas adecuada","Confianza;Trabajo en equipo","puedes sentir agobiado por tantas personas "
"2025/05/21 5:21:29 p. m. GMT-6","Acepto","441-2","Masculino","20","Si","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","De acuerdo","Aumenta el desenvolverse en simulaciones para poder practicarlo en clinica","La seguridad al participar","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Importante","","Donde me concentro más","Excelente idea, me encanta","Comunicación;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal","Falta de espacio"
"2025/05/21 5:21:36 p. m. GMT-6","Acepto","442-2","Femenino","22","Si","5 Excelente","4 Buena","4 Buena","5 Excelente","3 Regular","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Otorga una forma de aplicar nuestros conocimientos adquiridos y el desarrollo de un razonamiento crítico. ","La pena de los alumnos. ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Comunicación;Concentración;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal","Ninguno. "
"2025/05/21 5:21:44 p. m. GMT-6","Acepto","441-3","Femenino","23","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","Completamente de acuerdo","Ayuda demasiado con la confianza en nosotros y como llevar un orden con relación a llegar a un buen diagnóstico ","El que en materias como propedéutica médica no nos otorguen, algunas veces,  las bases necesarias para poder llegar a un diagnóstico ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Compañerismo;Discusión grupal","Algo de distracción "
"2025/05/21 5:21:54 p. m. GMT-6","Acepto","442-2","Masculino","40","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Es la mejor manera dinámica de practicar lo aprendido en clase!!!","El que solo se aplica en una asignatura y el ampliarlo a otras sería lo ideal a mi parecer","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Gracias por las enseñanzas y el querer mejorar etapa tras etapa!!!","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Solo que no tenemos en una mesa o pupitre para recargar nuestras libretas o laptops "
"2025/05/21 5:23:24 p. m. GMT-6","Acepto","442-3","Masculino","22","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Le da a los estudiantes oportunidad de aterrizar y poner en práctica lo aprendido, ayudando mucho a mejorar la toma de decisiones y la forma en la que ejercemos la atención médica.","Al menos en mi caso, siento que 2 hrs para un solo salón es poco tiempo para poder hacer una buena simulación, a veces uno tenía que apresurar las cosas porque ya tenía el tiempo encima","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Ninguno realmente, me gustó mucho la actividad","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Ninguno"
"2025/05/21 5:24:02 p. m. GMT-6","Acepto","441 - 2","Masculino","25","Si","5 Excelente","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","3 Regular","4 Buena","Completamente de acuerdo","Ayuda a mejorar las habilidades necesarias para el futuro médico ","Ninguno, es una buena herramienta ","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Importante","Ninguno","Donde están mis amigos","Buena estrategia","Comunicación;Estado de ánimo;Aprendizaje significativo;Discusión grupal","Distracción "
"2025/05/21 5:24:42 p. m. GMT-6","Acepto","441-3 ","Femenino","20","Si","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Porque es una manera en la que podemos aprender de manera adecuada y más comoletamente los que nos enseña la fisiopatología ","Tal vez la participación de los alumnos ","De acuerdo","Completamente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Concentración;Aprendizaje significativo;Compañerismo","No considero aue haya aspectos negativos como tal "
"2025/05/21 5:24:59 p. m. GMT-6","Acepto","441-3","Masculino","20","Si","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","Completamente de acuerdo","Creo que favorece las demás formas de aprender que puede tener cada alumno ya que la creación de experiencias puede ayudar a retener la información dada en clase, además de que nos ayuda a practicar para la práctica profesional y nos da un espacio en dónde emplear lo aprendido","el trabajo en equipo y la participación activa de cada miembro del equipo","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","es bueno agregar una retroalimentación por parte del docente en donde se señalen los errores y qué se pudo haber cambiado aunque es entendible que pueda ser complicado por el tiempo que quede después de la simulación","Donde escucho o veo mejor","Me da igual","Comunicación;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación","desconcentración"
"2025/05/21 5:25:27 p. m. GMT-6","Acepto","442-1","Femenino","22","Si","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Lo aprendido ya no se queda solo en lo teórico sino que al ponerlo en práctica uno aprende mejor los conceptos ","Esperar que el alumno lo sepa todo ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Excelente idea, me encanta","Comunicación;Motivación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal;Participación","Me pongo a platicar "
"2025/05/21 5:25:37 p. m. GMT-6","Acepto","441-2","Femenino","23","Si","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Ayuda a reforzar la teoría de las clases, y aplicar conocimientos ","falta de iniciativa ","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy importante","","Donde me concentro más","Buena estrategia","Confianza;Comunicación;Empatía;Discusión grupal;Participación;Trabajo en equipo","ninguno"
"2025/05/21 5:30:10 p. m. GMT-6","Acepto","442 sub 3 ","Femenino","20","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Nos ayudan a practicar la teoría en la práctica y no hay nada más necesario que el balance entre la teoría y la práctica ","Deberían de aplicar la simulación desde  más temprano en la carrera no solo en 4to semestre ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Que halla más practicas 💕","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Motivación;Estado de ánimo;Compañerismo;Discusión grupal;Participación","Ninguno "
"2025/05/21 5:31:24 p. m. GMT-6","Acepto","441-2","Masculino","19","Si","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","4 Buena","Completamente de acuerdo","Porque de esta forma con las simulaciones se fomenta el aprendizaje de una manera más efectiva y creativa que el simple hecho de realizar resúmenes, carteles, etc. ","La inexperiencia del alumnado a este tipo de dinámicas ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Importante","Ninguno","Donde no me cause estrés","Me da igual","Compañerismo","En veces me desconcentro por la organización de las sillas "
"2025/05/21 5:31:32 p. m. GMT-6","Acepto","441-2","Femenino","21","Si","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","4 Buena","4 Buena","5 Excelente","Completamente de acuerdo","Ayuda a impulsar la práctica del estudiante en un escenario para que al momento de tener una consulta real, el estudiante pueda tener una mayor confianza en sí mismo y su conocimiento que pueda transmitir al paciente ","La poca información/practica que tenemos de cómo es una consulta real ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Orientar más al alumno sobre la manera de tratar (hablar e interactuar) con el paciente ","Donde escucho o veo mejor","Me da igual","Estado de ánimo;Empatía;Compañerismo","Me incomoda tenerlos frente a frente, a veces me distrae "
"2025/05/21 5:32:25 p. m. GMT-6","Acepto","441-1","Femenino","30","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque nos permite perder el miedo y obtener confianza con uno mismo al enfrentarnos en una situación dentro de un hospital y tener el adecuado manejo con el paciente, así mismo en la toma de decisión de lo que se valla a realizar en la práctica.","Que no haya equipo para realizar la práctica.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","La dinámica es muy gratificante, solo que hace falta que los compañeros se involucren más con otros o que haya cambios de rol entre todos para tener y observar diferentes acciones y formas de trabajo o desempeño. ","Donde me concentro más","Excelente idea, me encanta","Comunicación;Motivación;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación","Que no guarden silencio cuando el docente esta impartiendo la clase"
"2025/05/21 5:33:43 p. m. GMT-6","Acepto","442-3","Masculino","20","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Te da un acercamiento clínico sin tener los nervios o preocupación de atender a un paciente real, dejando más espacio para el aprendizaje y el error.","La pena entre compañeros o los nervios.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Seguir implementando las simulaciones con nuevos temas y para otros semestres.","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Los comentarios que llegan a hacer durante la clase que pueden llegar a perder la concentración de la gente cercana."
"2025/05/21 5:34:12 p. m. GMT-6","Acepto","442-2","Masculino","22","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque a falta de docentes en clínica, tenemos la oportunidad de tratar a un paciente indirectamente ","Ninguno, la procrastinación de los propios alumnos es la razón que ara preocuparse ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Muy buenas simulaciones","Donde escucho o veo mejor","Buena estrategia","Motivación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Ninguno"
"2025/05/21 5:36:07 p. m. GMT-6","Acepto","442-2","Femenino","21","Si","5 Excelente","4 Buena","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","2 Mala","2 Mala","Completamente de acuerdo","Nos ayuda a comprender los temas desde una perspectiva diferente, relacionándonos directamente a la enfermedad, en el sentido de asimilar los roles tanto de paciente como médico tratante. Además nos ayuda no solo en esta materia sino que nos ayuda a practicar aspectos que son fundamentales en el área médica, por ejemplo: la exploración física, el manejo farmacológico de un paciente con alguna enfermedad en específico, así como el abordaje del paciente (la historia clínica, toma de signos vitales, entre otros).","La vergüenza del estudiante por hacer algo mal y equivocarse delante de todos.","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde están mis amigos","Buena estrategia","Confianza;Comunicación;Compañerismo","Que algunos están realizando actividades ajenas a la clase, platicando entre ellos, y esto resulta un tanto molesto."
"2025/05/21 5:36:27 p. m. GMT-6","Acepto","422","Masculino","20","Si","5 Excelente","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","Completamente de acuerdo","Siento que de una o alguna otra manera con el uso de la tecnología nos interesaría saber y más acerca de el tema en cuestión ","Las personas que dependiendo les gustan más las cosas teóricas y otras ma s practicas ","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Completamente de acuerdo","Importante","Ninguno muy buena clase sin embargo creo que quedó a deber como alumno ","Donde evito la interacción con el docente","Me da igual","Comunicación;Concentración;Compañerismo;Discusión grupal","Los olores ciento que estando haci se sienten más "
"2025/05/21 5:36:53 p. m. GMT-6","Acepto","441-1 ","Femenino","19","Si","4 Buena","5 Excelente","4 Buena","3 Regular","3 Regular","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","5 Excelente","5 Excelente","4 Buena","Completamente de acuerdo","Motiva al estudiante a participar ","El tiempo limitado (qué al final será en consulta) durante la simulación, que si se extiende, reduce el tiempo de retroalimentacion","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Muy importante","Utilizar siempre las guías más actualizadas y tratar de que el docente explique un poco más lento para la compresión en general (aveces si esta bien pero aveces va muy rápido) ","Para estar cerca del docente","Excelente idea, me encanta","Confianza;Comunicación;Compañerismo;Discusión grupal;Trabajo en equipo","Tal vez a lo largo de la clase es un poco sofocante pero creo que en nuestro caso es por el tamaño del aula"
"2025/05/21 5:40:28 p. m. GMT-6","Acepto","442-2","Femenino","21","Si","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","5 Excelente","5 Excelente","3 Regular","5 Excelente","Completamente de acuerdo","Porque ayuda a mejorar la confianza en los alumnos, el trabajo en equipo, el desempeño en el consultorio y a saber cómo tratar al paciente. ","La desconfianza que tienen los alumnos en si mismos, el miedo a actuar o a desarrollar sus habilidades por miedo al error. ","Completamente de acuerdo","Regular","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Muy importante","Sin comentarios, en general la estructura de las simulaciones ayuda bastante para la mejor comprensión del tema. ","Donde escucho o veo mejor","Me da igual","Confianza;Comunicación;Motivación;Estado de ánimo;Compañerismo","El espacio reducido para poder pasar entre la sillas"
"2025/05/21 5:40:55 p. m. GMT-6","Acepto","442 - 1","Femenino","19","Si","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Nos ayuda a practicar desde etapas tempranas en la carrera ","La preparación, porque nunca antes habíamos tratado con “pacientes”","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Ninguno ","Donde están mis amigos","Buena estrategia","Confianza;Comunicación;Estado de ánimo;Compañerismo;Participación","Tal vez las distracciones que podemos tener con otros compañeros "
"2025/05/21 5:41:06 p. m. GMT-6","Acepto","411-1","Masculino","23","Si","4 Buena","3 Regular","2 Mala","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","3 Regular","3 Regular","2 Mala","Completamente de acuerdo","Nos ayuda a dimensionar el como se debe desenvolverse en una sala de consultas y en una emergencia en el caso de que exista ","El equipo, porque se poco nos sirvió organizarnos tanto unos cuantos para que otros no hagan ni el mínimo y eso se presente en un mal desempeño ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Por motivos personales no pude disfrutarlo como me hubiera gustado, sin embargo agradezco la experiencia y la paciencia en su curso
Tendría que mencionar ligeramente el equipo de sonido porque en algunas ocasiones se oía sucio el sonido o muy bajo 
Pero más allá de ello estuvo bien ","Donde no me cause estrés","Me da igual","Comunicación","Por mi parte no hay algo que pueda aportar en este aspecto "
"2025/05/21 5:41:15 p. m. GMT-6","Acepto","442-1","Masculino","19","Si","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","Completamente de acuerdo","Por que es una manera eficiente y segura de practicar junto con aprendizaje o dominio de un tema","No encuentro un inconveniente importante, salvo tal vez la propia actitud de algunos alumnos","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","Tal vez tener una fuente base, aunque afectaría el que los alumnos estudien por su cuenta","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Cotorreo","Podria ser que al moemnto de querer salir a media clase, los de atras deben pasar por espacios muy estrechos y que si hay alguien o varios haciendo ruido cerca, se nota mucho más"
"2025/05/21 5:41:38 p. m. GMT-6","Acepto","443-2","Masculino","20","Si","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","Completamente de acuerdo","Nos hace crear un perfil más activo, nos crea situaciones a resolver que desarrollan nuestra habilidad ","No todos se sienten seguros haciendo una simulación frente a más personas ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Crear casos del mismo tema pero tal vez que sean 2 diferentes para saber porque en uno hacer esto y en el otro otra cosa ","Donde están mis amigos","Excelente idea, me encanta","Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Participación","Que no se sientan en confianza de participar por miedo a equivocarse y ser juzgados por todos los de su alrededor "
"2025/05/21 5:44:13 p. m. GMT-6","Acepto","442 sub 1","Masculino","36","Si","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","En el aprendizaje significativo, aplicándolo en nuestra vida y los que nos rodean.","Más instrumentos ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Excelente docente, siga así, que es de admirar y respetar.","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Estado de ánimo;Aprendizaje significativo;Compañerismo;Participación;Trabajo en equipo","En algunas ocasiones el lenguaje impropio de algunos compañeros, como falta de respeto al docente y compañeros."
"2025/05/21 5:49:33 p. m. GMT-6","Acepto","441-3","Masculino","26","Si","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Porque genera confianza, se va perdiendo la pena, y se aprende a trabajar mejor en equipo y en la toma de decisiones rápidas ","La pena de que los compañeros vean y critiquen ","Completamente de acuerdo","Regular","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Me da igual","Comunicación;Compañerismo;Participación;Trabajo en equipo","Que estén haciendo ruido "
